time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2018-07-28T21:32:20.353Z,40.919950,-73.125719,-1.3528288016095757,19.0,0.0,0.37019947,2,gps,100.000,,,,0,,,46,
2018-07-28T21:32:21.553Z,40.919788,-73.125674,-1.4720607176423073,31.986963,0.0,1.1759207,6,gps,1.355,,,,0,,,46,
2018-07-28T21:32:23.000Z,40.919855,-73.125681,-0.7499104076996446,19.0,0.0,0.43504563,11,gps,3.998,,,,0,,,46,
2018-07-28T21:32:24.000Z,40.919845,-73.125618,2.215981741435826,19.0,0.0,0.20637594,11,gps,0.822,,,,0,,,46,
2018-07-28T21:32:26.000Z,40.919845,-73.125618,2.215981741435826,4.9,0.0,0.0,12,gps,0.764,,,,0,,,46,
2018-07-28T21:32:28.000Z,40.919845,-73.125618,2.215981741435826,4.9,0.0,0.0,11,gps,0.868,,,,0,,,46,
2018-07-28T21:32:30.000Z,40.919845,-73.125618,2.215981741435826,4.9,0.0,0.0,12,gps,0.822,,,,0,,,46,
2018-07-28T21:32:32.000Z,40.919845,-73.125618,2.215981741435826,4.9,0.0,0.0,12,gps,0.764,,,,0,,,46,
2018-07-28T21:32:34.000Z,40.919845,-73.125618,2.215981741435826,4.9,0.0,0.0,13,gps,0.764,,,,0,,,46,
2018-07-28T21:32:36.000Z,40.919845,-73.125618,2.215981741435826,4.9,0.0,0.0,13,gps,0.743,,,,0,,,46,
2018-07-28T21:32:38.000Z,40.919845,-73.125618,2.215981741435826,4.9,0.0,0.0,13,gps,,,,,0,,,46,
2018-07-28T21:32:40.000Z,40.919845,-73.125618,2.215981741435826,4.9,0.0,0.0,13,gps,0.743,,,,0,,,46,
2018-07-28T21:32:42.000Z,40.919845,-73.125618,2.215981741435826,4.9,0.0,0.0,13,gps,0.743,,,,0,,,46,
2018-07-28T21:32:44.000Z,40.919845,-73.125618,2.215981741435826,4.9,0.0,0.0,13,gps,0.743,,,,0,,,46,
2018-07-28T21:32:46.000Z,40.919845,-73.125618,2.215981741435826,4.9,0.0,0.0,13,gps,0.743,,,,0,,,46,
2018-07-28T21:32:48.000Z,40.919845,-73.125618,2.215981741435826,4.9,0.0,0.0,13,gps,,,,,0,,,46,
2018-07-28T21:32:50.000Z,40.919845,-73.125618,2.215981741435826,4.9,0.0,0.0,13,gps,0.743,,,,0,,,46,
2018-07-28T21:32:52.000Z,40.919845,-73.125618,2.215981741435826,4.9,0.0,0.0,13,gps,,,,,0,,,46,
2018-07-28T21:32:54.000Z,40.919845,-73.125618,2.215981741435826,4.9,0.0,0.0,13,gps,0.743,,,,0,,,46,
2018-07-28T21:32:56.000Z,40.919845,-73.125618,2.215981741435826,4.9,0.0,0.0,13,gps,,,,,0,,,46,
2018-07-28T21:32:58.000Z,40.919845,-73.125618,2.215981741435826,4.9,0.0,0.0,13,gps,0.743,,,,0,,,46,
2018-07-28T21:33:00.000Z,40.919845,-73.125618,2.215981741435826,4.9,0.0,0.0,13,gps,0.743,,,,0,,,46,
2018-07-28T21:33:02.000Z,40.919845,-73.125618,2.215981741435826,4.9,0.0,0.0,13,gps,0.743,,,,0,,,46,
2018-07-28T21:33:04.000Z,40.919845,-73.125618,2.215981741435826,4.9,0.0,0.0,13,gps,0.743,,,,0,,,46,
2018-07-28T21:33:06.000Z,40.919845,-73.125618,2.215981741435826,4.9,0.0,0.0,13,gps,0.743,,,,0,,,46,
2018-07-28T21:33:08.000Z,40.919845,-73.125618,2.215981741435826,4.9,0.0,0.0,13,gps,0.743,,,,0,,,46,
2018-07-28T21:33:10.000Z,40.919845,-73.125618,2.215981741435826,4.9,0.0,0.0,13,gps,0.743,,,,0,,,46,
2018-07-28T21:33:12.000Z,40.919845,-73.125618,2.215981741435826,4.9,0.0,0.0,13,gps,0.743,,,,0,,,46,
2018-07-28T21:33:14.000Z,40.919845,-73.125618,2.215981741435826,4.9,0.0,0.0,13,gps,0.743,,,,0,,,46,
2018-07-28T21:33:16.000Z,40.919845,-73.125618,2.215981741435826,4.9,0.0,0.0,13,gps,,,,,0,,,46,
2018-07-28T21:33:18.000Z,40.919845,-73.125618,2.215981741435826,4.9,0.0,0.0,13,gps,0.743,,,,0,,,46,
2018-07-28T21:33:19.000Z,40.919845,-73.125618,2.215981741435826,4.9,0.0,0.0,13,gps,,,,,0,,,46,
2018-07-28T21:33:21.000Z,40.919845,-73.125618,2.215981741435826,4.9,0.0,0.0,13,gps,0.743,,,,0,,,46,
2018-07-28T21:33:23.000Z,40.919845,-73.125618,2.215981741435826,4.9,0.0,0.0,13,gps,0.743,,,,0,,,46,
2018-07-28T21:33:25.000Z,40.919845,-73.125618,2.215981741435826,4.9,0.0,0.0,13,gps,0.743,,,,0,,,46,
2018-07-28T21:33:27.000Z,40.919845,-73.125618,2.215981741435826,4.9,0.0,0.0,13,gps,0.743,,,,0,,,46,
2018-07-28T21:33:29.000Z,40.919845,-73.125618,2.215981741435826,4.9,0.0,0.0,13,gps,0.743,,,,0,,,46,
2018-07-28T21:33:31.000Z,40.919845,-73.125618,2.215981741435826,4.9,0.0,0.0,13,gps,,,,,0,,,46,
2018-07-28T21:33:33.000Z,40.919845,-73.125618,2.215981741435826,4.9,0.0,0.0,13,gps,0.743,,,,0,,,46,
2018-07-28T21:33:35.000Z,40.919845,-73.125618,2.215981741435826,4.9,0.0,0.0,13,gps,0.743,,,,0,,,46,
2018-07-28T21:33:37.000Z,40.919845,-73.125618,2.215981741435826,4.9,0.0,0.0,13,gps,0.743,,,,0,,,46,
2018-07-28T21:33:38.000Z,40.919845,-73.125618,2.215981741435826,4.9,0.0,0.0,13,gps,,,,,0,,,46,
2018-07-28T21:33:40.000Z,40.919833,-73.125614,2.8621245361864567,6.0757895,0.0,0.84581923,13,gps,0.743,,,,0,,,46,
2018-07-28T21:33:42.000Z,40.919817,-73.125618,3.490477158688009,6.5863123,0.0,0.61880946,13,gps,,,,,0,,,46,
2018-07-28T21:33:44.000Z,40.919809,-73.125626,3.879483563825488,4.9,0.0,0.0,13,gps,0.743,,,,0,,,46,
2018-07-28T21:33:46.000Z,40.919809,-73.125626,3.879483563825488,4.9,0.0,0.0,13,gps,0.743,,,,0,,,46,
2018-07-28T21:33:48.000Z,40.919809,-73.125626,3.879483563825488,4.9,0.0,0.0,13,gps,0.743,,,,0,,,46,
2018-07-28T21:33:50.000Z,40.919809,-73.125626,3.879483563825488,4.9,0.0,0.0,13,gps,,,,,0,,,46,
2018-07-28T21:33:52.000Z,40.919795,-73.125614,4.141246005892754,6.663943,0.0,0.79450953,13,gps,0.743,,,,0,,,46,
2018-07-28T21:33:54.000Z,40.919782,-73.125606,4.3245637053623796,4.9,0.0,0.0,13,gps,0.743,,,,0,,,46,
2018-07-28T21:33:56.000Z,40.919781,-73.125605,4.3432487398386,4.9,0.0,0.0,13,gps,0.743,,,,0,,,46,
2018-07-28T21:33:58.000Z,40.919781,-73.125605,4.3432487398386,4.9,0.0,0.0,13,gps,0.743,,,,0,,,46,
2018-07-28T21:34:00.000Z,40.919781,-73.125605,4.3432487398386,4.9,0.0,0.0,13,gps,0.743,,,,0,,,46,
2018-07-28T21:34:02.000Z,40.919781,-73.125605,4.3432487398386,4.9,0.0,0.0,13,gps,,,,,0,,,46,
2018-07-28T21:34:04.000Z,40.919781,-73.125605,4.3432487398386,4.9,0.0,0.0,13,gps,,,,,0,,,46,
2018-07-28T21:34:06.000Z,40.919781,-73.125605,4.3432487398386,4.9,0.0,0.0,13,gps,0.743,,,,0,,,46,
2018-07-28T21:34:07.000Z,40.919774,-73.125600,4.17354922182858,8.131551,0.0,0.9486156,13,gps,0.743,,,,0,,,46,
2018-07-28T21:34:09.000Z,40.919767,-73.125588,4.261783571913838,4.9,0.0,0.0,13,gps,,,,,0,,,46,
2018-07-28T21:34:11.000Z,40.919767,-73.125588,4.261783571913838,4.9,0.0,0.0,13,gps,0.743,,,,0,,,46,
2018-07-28T21:34:12.000Z,40.919767,-73.125588,4.261783571913838,4.9,0.0,0.0,13,gps,,,,,0,,,45,
2018-07-28T21:34:14.000Z,40.919767,-73.125588,4.261783571913838,4.9,0.0,0.0,13,gps,0.743,,,,0,,,45,
2018-07-28T21:34:16.000Z,40.919767,-73.125588,4.261783571913838,4.9,0.0,0.0,13,gps,0.743,,,,0,,,45,
2018-07-28T21:34:18.000Z,40.919767,-73.125588,4.261783571913838,4.9,0.0,0.0,12,gps,0.743,,,,0,,,45,
2018-07-28T21:34:20.000Z,40.919767,-73.125588,4.261783571913838,4.9,0.0,0.0,12,gps,0.764,,,,0,,,45,
2018-07-28T21:34:22.000Z,40.919767,-73.125588,4.261783571913838,4.9,0.0,0.0,13,gps,0.764,,,,0,,,45,
2018-07-28T21:34:24.000Z,40.919767,-73.125588,4.261783571913838,4.9,0.0,0.0,13,gps,,,,,0,,,45,
2018-07-28T21:34:26.000Z,40.919767,-73.125588,4.261783571913838,4.9,0.0,0.0,13,gps,,,,,0,,,45,
2018-07-28T21:34:28.000Z,40.919767,-73.125588,4.261783571913838,4.9,0.0,0.0,13,gps,0.743,,,,0,,,45,
